Ingredient,Category,ComedogenicScore,Note
Isopropyl Palmitate,Ester,4,"Common emollient ester with strong pore-clogging tendency."
Lactic Acid,Active/AHA,1,"Mild exfoliant; usually safe but may irritate very sensitive acne skin."
Laureth-7,Surfactant,2,"Mild nonionic surfactant; may clog pores at high levels."
Madecassic Acid,Soothing/Repair,0,"Centella component; supports wound healing, non-comedogenic."
Madecassoside,Soothing/Repair,0,"Centella compound; reduces redness and inflammation."
Malachite Extract,Antioxidant Mineral,0,"Provides trace minerals and antioxidant protection."
Mannitol,Humectant,0,"Sugar alcohol humectant; non-comedogenic."
Myristic Acid,Fatty Acid,3,"Medium-chain fatty acid; can clog pores in oily skin."
Myristyl Myristate,Emollient Ester,5,"Highly comedogenic ester; can clog pores in acne-prone skin."
Niacinamide,Active,0,"Anti-inflammatory; helps regulate sebum and support barrier."
Oleic Acid,Fatty Acid,3,"Monounsaturated fatty acid; may trigger breakouts in acne-prone skin."
Oleyl Alcohol,Fatty Alcohol,3,"Unsaturated fatty alcohol; can clog pores in acne-prone skin."
Paeonia Suffruticosa Root Extract,Botanical Antioxidant,0,"Soothing antioxidant extract; acne-friendly."
Palmitic Acid,Fatty Acid,2,"Common fatty acid; moisturizing but may clog pores in some users."
Panthenol,Humectant/Soothing,0,"Pro-vitamin B5; soothes skin and supports barrier."
Pentaerythrityl Tetraisostearate,Emollient Ester,3,"Rich emollient; may clog pores in oily/acne-prone skin."
Pentylene Glycol,Humectant,0,"Light humectant with antibacterial properties."
Phenoxyethanol,Preservative,0,"Common preservative; safe for acne-prone skin."
Phytosphingosine,Skin Lipid/Antimicrobial,0,"Supports barrier and has antimicrobial effects."
Phytosterols,Plant Lipid,0,"Anti-inflammatory plant sterols; barrier supportive."
Polyacrylamide,Polymer,0,"Thickener; non-comedogenic."
Polyacrylate Crosspolymer-11,Polymer,0,"Film-forming agent; non-comedogenic."
Polyacrylate-13,Polymer/Thickener,0,"Stabilizer; provides smooth texture, non-comedogenic."
Polyglyceryl-10 Laurate,Emulsifier,1,"Mild plant-derived emulsifier; generally safe for acne-prone skin."
Polyglyceryl-2 Stearate,Emulsifier,0,"Non-comedogenic emulsifier; helps blend oils and water."
Polyglyceryl-3 Diisostearate,Emulsifier,1,"Blends oil and water; low clogging risk."
Portulaca Oleracea Extract,Botanical Soothing,0,"Anti-inflammatory extract; acne-friendly."
Potassium Cetyl Phosphate,Emulsifier,1,"Anionic emulsifier; generally non-comedogenic."
Potassium Phosphate,Buffering Agent,0,"Maintains product pH balance; non-comedogenic."
Propanediol,Humectant,0,"Light humectant and solvent with low irritation potential."
PVM/MA Copolymer,Film Former,0,"Forms moisture film; non-comedogenic."
Salicylic Acid,Active/BHA,0,"Exfoliates inside pores; classic acne-friendly ingredient."
Scutellaria Baicalensis Root Extract,Botanical Antioxidant,0,"Anti-inflammatory flavonoid extract; acne-friendly."
Silica,Absorbent/Thickener,0,"Oil absorber; non-comedogenic and acne-safe."
Sodium Acetylated Hyaluronate,Humectant,0,"Stable HA derivative; enhances moisture retention."
Sodium Hyaluronate,Humectant,0,"Hyaluronic acid salt; binds water, non-comedogenic."
Sodium Hyaluronate Crosspolymer,Humectant,0,"Crosslinked HA; provides long-lasting hydration."
Sodium Hydroxide,pH Adjuster,0,"Used to balance pH; non-comedogenic at low levels."
Sodium Lauroyl Lactylate,Surfactant,1,"Mild surfactant; may irritate sensitive skin."
Sorbitan Isostearate,Emulsifier,2,"Mild surfactant; low to moderate clogging potential."
Sphingolipids,Skin Lipid,0,"Natural barrier lipids; maintain hydration, acne-safe."
Squalane,Emollient/Oil,0,"Stable oil; non-comedogenic and soothing for acne-prone skin."
Stearic Acid,Fatty Acid,2,"Moisturizing fatty acid; may clog pores in some skin types."
Stearyl Alcohol,Fatty Alcohol,1,"Long-chain solid fatty alcohol; safe for most acne-prone skin."
T-Butyl Alcohol,Solvent,1,"Volatile solvent; evaporates, low clogging risk."
Tea Tree Oil,Active/Oil,1,"Antimicrobial; helpful for acne but can irritate at high concentrations."
Tocopherol,Antioxidant (Vitamin E),2,"Antioxidant; beneficial but may clog pores at high doses."
Trehalose,Humectant,0,"Sugar-based humectant; prevents moisture loss."
Tromethamine,pH Adjuster,0,"Buffering agent; safe for acne-prone skin."
"Water(Aqua)",Solvent,0,"Base solvent; non-comedogenic and safe."
Xanthan Gum,Thickener,0,"Polysaccharide thickener."
Petrolatum,Occlusive/Emollient,0,"Non-comedogenic; occlusive texture may feel heavy for oily skin."
Aqua/Water,Solvent,0,"Basic solvent; non-comedogenic."
Aqua,Solvent,0,"Same as Water; non-comedogenic."


